"","id10","N","dec10","grp10"
"1","A029",1,"Infeccion debida a salmonella no especificada",""
"2","A049",1,"Infeccion intestinal bacteriana, no especificada",""
"3","A061",1,"Amebiasis intestinal cronica",""
"4","A080",1,"Enteritis debida a rotavirus",""
"5","A083",2,"Otras enteritis virales",""
"6","A084",1,"Infeccion intestinal viral, sin otra especificacion",""
"7","A162",4,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"8","A379",1,"Tos ferina, no especificada",""
"9","A418",1,"Otras septicemias especificadas",""
"10","A419",5,"Septicemia, no especificada",""
"11","A499",1,"Infeccion bacteriana, no especificada",""
"12","A500",1,"Sifilis congenita precoz, sintomatica",""
"13","A509",1,"Sifilis congenita, sin otra especificacion",""
"14","A630",2,"Verrugas (venereas) anogenitales",""
"15","A810",1,"Enfermedad de creutzfeldt",""
"16","A879",1,"Meningitis viral, sin otra especificacion",""
"17","B019",1,"Varicela sin complicaciones",""
"18","B082",1,"Exantema subito [sexta enfermedad]",""
"19","B085",1,"Faringitis vesicular enterovirica",""
"20","B206",1,"Enfermedad por vih, resultante en neumonia por pneumocystis carinii",""
"21","B278",1,"Otras mononucleosis infecciosas",""
"22","B349",7,"Infeccion viral, no especificada",""
"23","B678",1,"Equinococosis del higado, no especificada",""
"24","B679",1,"Equinococosis, otra y la no especificada",""
"25","C069",1,"Tumor maligno de la boca, parte no especificada",""
"26","C169",11,"Tumor maligno del estomago, parte no especificada",""
"27","C180",1,"Tumor maligno del ciego",""
"28","C182",1,"Tumor maligno del colon ascendente",""
"29","C187",1,"Tumor maligno del colon sigmoide",""
"30","C189",6,"Tumor maligno del colon, parte no especificada",""
"31","C229",1,"Tumor maligno del higado, no especificado",""
"32","C249",1,"Tumor maligno de las vias biliares, parte no especificada",""
"33","C252",1,"Tumor maligno de la cola del pancreas",""
"34","C259",8,"Tumor maligno del pancreas, parte no especificada",""
"35","C329",4,"Tumor maligno de la laringe, parte no especificada",""
"36","C349",7,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"37","C383",1,"Tumor maligno del mediastino, parte no especificada",""
"38","C440",1,"Tumor maligno de la piel del labio",""
"39","C445",2,"Tumor maligno de la piel del tronco",""
"40","C447",1,"Tumor maligno de la piel del miembro inferior, incluida la cadera",""
"41","C499",1,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado",""
"42","C504",1,"Tumor maligno del cuadrante superior externo de la mama",""
"43","C509",12,"Tumor maligno de la mama, parte no especificada",""
"44","C519",1,"Tumor maligno de la vulva, parte no especificada",""
"45","C539",7,"Tumor maligno del cuello del utero, sin otra especificacion",""
"46","C541",6,"Tumor maligno del endometrio",""
"47","C629",8,"Tumor maligno del testiculo, no especificado",""
"48","C679",4,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"49","C710",2,"Tumor maligno del cerebro, excepto lobulos y ventriculos",""
"50","C763",1,"Tumor maligno de la pelvis",""
"51","C780",4,"Tumor maligno secundario del pulmon",""
"52","C857",1,"Otros tipos especificados de linfoma no hodgkin",""
"53","C859",8,"Linfoma no hodgkin, no especificado",""
"54","C900",4,"Mieloma multiple",""
"55","C910",8,"Leucemia linfoblastica aguda",""
"56","C914",1,"Leucemia de celulas vellosas",""
"57","C920",1,"Leucemia mieloide aguda",""
"58","D059",1,"Carcinoma in situ de la mama, parte no especificada",""
"59","D070",1,"Carcinoma in situ del endometrio",""
"60","D135",1,"Tumor benigno de las vias biliares extrahepaticas",""
"61","D163",1,"Tumor benigno de los huesos cortos del miembro inferior",""
"62","D167",1,"Tumor benigno de las costillas, esternon y clavicula",""
"63","D168",1,"Tumor benigno de los huesos pelvicos, sacro y coccix",""
"64","D221",1,"Nevo melanocitico del parpado, incluida la comisura palpebral",""
"65","D223",1,"Nevo melanocitico de otras partes de las no especificadas de la cara",""
"66","D250",3,"Leiomioma submucoso del utero",""
"67","D252",1,"Leiomioma subseroso del utero",""
"68","D259",17,"Leiomioma del utero, sin otra especificacion",""
"69","D267",1,"Tumor benigno de otras partes especificadas del utero",""
"70","D269",1,"Tumor benigno del utero, parte no especificada",""
"71","D287",1,"Tumor benigno de otros sitios especificados de los organos genitales femeninos",""
"72","D329",1,"Tumor benigno de las meninges, parte no especificada",""
"73","D352",1,"Tumor benigno de la hipofisis",""
"74","D367",2,"Tumor benigno de otros sitios especificados",""
"75","D371",2,"Tumor de comportamiento incierto o desconocido del estomago",""
"76","D374",2,"Tumor de comportamiento incierto o desconocido del colon",""
"77","D376",1,"Tumor de comportamiento incierto o desconocido del higado, de la vesicula biliar y del conducto biliar",""
"78","D380",2,"Tumor de comportamiento incierto o desconocido de laringe",""
"79","D381",4,"Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon",""
"80","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"81","D397",3,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"82","D400",3,"Tumor de comportamiento incierto o desconocido de la prostata",""
"83","D414",1,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"84","D430",1,"Tumor de comportamiento incierto o desconocido del encefalo, supratentorial",""
"85","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"86","D486",2,"Tumor de comportamiento incierto o desconocido de la mama",""
"87","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"88","D489",1,"Tumor de comportamiento incierto o desconocido, de sitio no especificado",""
"89","D508",1,"Otras anemias por deficiencia de hierro",""
"90","D593",1,"Sindrome hemolitico",""
"91","D619",1,"Anemia aplastica, sin otra especificacion",""
"92","D649",7,"Anemia de tipo no especificado",""
"93","D694",1,"Otras trombocitopenias primarias",""
"94","E038",1,"Otros hipotiroidismos especificados",""
"95","E041",1,"Nodulo tiroideo solitario no toxico",""
"96","E042",1,"Bocio multinodular no toxico",""
"97","E059",2,"Tirotoxicosis, no especificada",""
"98","E109",1,"Diabetes mellitus insulinodependiente sin mencion de complicacion",""
"99","E115",13,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"100","E118",3,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"101","E119",2,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"102","E145",4,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"103","E148",4,"Diabetes mellitus, no especificada con complicaciones no especificadas",""
"104","E160",4,"Hipoglicemia sin coma, inducida por drogas",""
"105","E162",13,"Hipoglicemia , no especificada",""
"106","E213",1,"Hiperparatiroidismo, sin otra especificacion",""
"107","E282",1,"Sindrome de ovario poliquistico",""
"108","E630",1,"Deficiencia de acidos grasos esenciales [age]",""
"109","E668",5,"Otros tipos de obesidad",""
"110","E669",3,"Obesidad, no especificada",""
"111","E755",1,"Otros trastornos del almacenamiento de lipidos",""
"112","E760",11,"Mucopolisacaridosis tipo i",""
"113","E840",2,"Fibrosis quistica con manifestaciones pulmonares",""
"114","E849",3,"Fibrosis quistica, sin otra especificacion",""
"115","E876",1,"Hipopotasmia",""
"116","E881",2,"Lipodistrofia, no clasificada en otra parte",""
"117","F102",2,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
