"","id10","N","dec10","grp10"
"1","A012",1,"Fiebre paratifoidea b",""
"2","A047",1,"Enterocolitis debida a clostridium difficile",""
"3","A059",1,"Intoxicacion alimentaria bacteriana, no especificada",""
"4","A060",1,"Disenteria amebiana aguda",""
"5","A080",4,"Enteritis debida a rotavirus",""
"6","A083",1,"Otras enteritis virales",""
"7","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"8","A379",3,"Tos ferina, no especificada",""
"9","A419",9,"Septicemia, no especificada",""
"10","A493",1,"Infeccion por micoplasma, sin otra especificacion",""
"11","A499",1,"Infeccion bacteriana, no especificada",""
"12","A500",1,"Sifilis congenita precoz, sintomatica",""
"13","A501",1,"Sifilis congenita precoz, latente",""
"14","A509",1,"Sifilis congenita, sin otra especificacion",""
"15","A630",1,"Verrugas (venereas) anogenitales",""
"16","B082",1,"Exantema subito [sexta enfermedad]",""
"17","B171",1,"Hepatitis aguda tipo c",""
"18","B206",1,"Enfermedad por vih, resultante en neumonia por pneumocystis carinii",""
"19","B279",1,"Mononucleosis infecciosa, no especificada",""
"20","B349",3,"Infeccion viral, no especificada",""
"21","B371",1,"Candidiasis pulmonar",""
"22","B451",1,"Criptococosis cerebral",""
"23","B573",1,"Enfermedad de chagas (cronica) que afecta al sistema digestivo",""
"24","B678",1,"Equinococosis del higado, no especificada",""
"25","B689",1,"Teniasis, no especificada",""
"26","C169",7,"Tumor maligno del estomago, parte no especificada",""
"27","C180",1,"Tumor maligno del ciego",""
"28","C189",10,"Tumor maligno del colon, parte no especificada",""
"29","C229",4,"Tumor maligno del higado, no especificado",""
"30","C250",1,"Tumor maligno de la cabeza del pancreas",""
"31","C259",2,"Tumor maligno del pancreas, parte no especificada",""
"32","C310",1,"Tumor maligno del seno maxilar",""
"33","C349",3,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"34","C410",6,"Tumor maligno de los huesos del craneo y de la cara",""
"35","C442",1,"Tumor maligno de la piel de la oreja y del conducto auditivo externo",""
"36","C449",1,"Tumor maligno de la piel, sitio no especificado",""
"37","C482",2,"Tumor maligno del peritoneo, sin otra especificacion",""
"38","C500",1,"Tumor maligno del pezon y areola mamaria",""
"39","C509",7,"Tumor maligno de la mama, parte no especificada",""
"40","C539",2,"Tumor maligno del cuello del utero, sin otra especificacion",""
"41","C541",3,"Tumor maligno del endometrio",""
"42","C629",4,"Tumor maligno del testiculo, no especificado",""
"43","C679",3,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"44","C710",2,"Tumor maligno del cerebro, excepto lobulos y ventriculos",""
"45","C762",1,"Tumor maligno del abdomen",""
"46","C780",2,"Tumor maligno secundario del pulmon",""
"47","C785",1,"Tumor maligno secundario del intestino grueso y del recto",""
"48","C795",1,"Tumor maligno secundario de los huesos y de la medula osea",""
"49","C819",1,"Enfermedad de hodgkin, no especificada",""
"50","C837",1,"Tumor de burkitt",""
"51","C839",1,"Linfoma no hodgkin difuso, sin otra especificacion",""
"52","C859",6,"Linfoma no hodgkin, no especificado",""
"53","C900",3,"Mieloma multiple",""
"54","C910",12,"Leucemia linfoblastica aguda",""
"55","C920",2,"Leucemia mieloide aguda",""
"56","D135",2,"Tumor benigno de las vias biliares extrahepaticas",""
"57","D139",1,"Tumor benigno de sitios mal definidos del sistema digestivo",""
"58","D173",1,"Tumor benigno lipomatoso de piel y de tejido subcutaneo de otros sitios y de los no especificados",""
"59","D174",1,"Tumor benigno lipomatoso de los organos intratoracicos",""
"60","D179",1,"Tumor benigno lipomatoso, de sitio no especificado",""
"61","D181",1,"Linfangioma, de cualquier sitio",""
"62","D229",5,"Nevo melanocitico, sitio no especificado",""
"63","D239",1,"Tumor benigno de la piel, sitio no especificado",""
"64","D250",1,"Leiomioma submucoso del utero",""
"65","D259",21,"Leiomioma del utero, sin otra especificacion",""
"66","D261",1,"Tumor benigno del cuerpo del utero",""
"67","D291",2,"Tumor benigno de la prostata",""
"68","D292",1,"Tumor benigno de los testiculos",""
"69","D303",1,"Tumor benigno de la vejiga",""
"70","D371",2,"Tumor de comportamiento incierto o desconocido del estomago",""
"71","D374",3,"Tumor de comportamiento incierto o desconocido del colon",""
"72","D375",1,"Tumor de comportamiento incierto o desconocido del recto",""
"73","D377",2,"Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados",""
"74","D381",1,"Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon",""
"75","D391",7,"Tumor de comportamiento incierto o desconocido del ovario",""
"76","D397",1,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"77","D400",5,"Tumor de comportamiento incierto o desconocido de la prostata",""
"78","D401",1,"Tumor de comportamiento incierto o desconocido del testiculo",""
"79","D410",2,"Tumor de comportamiento incierto o desconocido del riñon",""
"80","D414",4,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"81","D430",2,"Tumor de comportamiento incierto o desconocido del encefalo, supratentorial",""
"82","D440",2,"Tumor de comportamiento incierto o desconocido de la glandula tiroides",""
"83","D441",1,"Tumor de comportamiento incierto o desconocido de la glandula suprarrenal",""
"84","D485",1,"Tumor de comportamiento incierto o desconocido de la piel",""
"85","D486",5,"Tumor de comportamiento incierto o desconocido de la mama",""
"86","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"87","D510",1,"Anemia por deficiencia de vitamina b12 debida a deficiencia del factor intrinseco",""
"88","D531",1,"Otras anemias megaloblasticas, no clasificadas en otra parte",""
"89","D589",1,"Anemia hemolitica hereditaria, sin otra especificacion",""
"90","D619",1,"Anemia aplastica, sin otra especificacion",""
"91","D649",5,"Anemia de tipo no especificado",""
"92","D693",2,"Purpura trombocitopenica idiopatica",""
"93","E039",1,"Hipotiroidismo, no especificado",""
"94","E102",2,"Diabetes mellitus insulinodependiente con complicaciones renales",""
"95","E105",2,"Diabetes mellitus insulinodependiente con complicaciones circulatorias perifericas",""
"96","E110",1,"Diabetes mellitus no insulinodependiente con coma",""
"97","E114",1,"Diabetes mellitus no insulinodependiente con complicaciones neurologicas",""
"98","E115",7,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"99","E116",4,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas",""
"100","E118",3,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"101","E119",3,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"102","E145",9,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"103","E147",1,"Diabetes mellitus, no especificada con complicaciones multiples",""
"104","E148",4,"Diabetes mellitus, no especificada con complicaciones no especificadas",""
"105","E149",3,"Diabetes mellitus, no especificada sin mencion de complicacion",""
"106","E162",17,"Hipoglicemia , no especificada",""
"107","E213",1,"Hiperparatiroidismo, sin otra especificacion",""
"108","E301",1,"Pubertad precoz",""
"109","E668",5,"Otros tipos de obesidad",""
"110","E669",6,"Obesidad, no especificada",""
"111","E840",1,"Fibrosis quistica con manifestaciones pulmonares",""
"112","E841",1,"Fibrosis quistica con manifestaciones intestinales",""
"113","E849",2,"Fibrosis quistica, sin otra especificacion",""
"114","E870",1,"Hiperosmolaridad e hipernatremia",""
"115","E875",1,"Hiperpotasemia",""
"116","E881",4,"Lipodistrofia, no clasificada en otra parte",""
"117","F079",1,"Trastorno organico de la personalidad y del comportamiento, no especificado, debido a enfermedad, lesion y disfuncion cerebral",""
"118","F102",3,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"119","F103",4,"Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia",""
"120","F130",8,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
