"","id10","N","dec10","grp10"
"1","A010",2,"Fiebre tifoidea",""
"2","A028",1,"Otras infecciones especificadas como debidas a salmonella",""
"3","A039",1,"Shigelosis de tipo no especificado",""
"4","A060",1,"Disenteria amebiana aguda",""
"5","A080",2,"Enteritis debida a rotavirus",""
"6","A083",1,"Otras enteritis virales",""
"7","A084",4,"Infeccion intestinal viral, sin otra especificacion",""
"8","A162",3,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"9","A165",1,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica",""
"10","A379",5,"Tos ferina, no especificada",""
"11","A419",2,"Septicemia, no especificada",""
"12","A879",2,"Meningitis viral, sin otra especificacion",""
"13","B001",1,"Dermatitis vesicular herpetica",""
"14","B009",1,"Infeccion debida a el virus del herpes, no especificada",""
"15","B018",1,"Varicela con otras complicaciones",""
"16","B019",1,"Varicela sin complicaciones",""
"17","B029",2,"Herpes zoster sin complicaciones",""
"18","B081",1,"Molusco contagioso",""
"19","B159",3,"Hepatitis aguda tipo a, con coma hepatico",""
"20","B169",1,"Hepatitis aguda tipo b, sin agente delta y sin coma hepatico",""
"21","B199",1,"Hepatitis viral no especificada sin coma",""
"22","B206",1,"Enfermedad por vih, resultante en neumonia por pneumocystis carinii",""
"23","B207",1,"Enfermedad por vih, resultante en infecciones multiples",""
"24","B209",1,"Enfermedad por vih, resultante en enfermedad infecciosa o parasitaria no especificada",""
"25","B279",1,"Mononucleosis infecciosa, no especificada",""
"26","B368",1,"Otras micosis superficiales especificadas",""
"27","B678",1,"Equinococosis del higado, no especificada",""
"28","C111",4,"Tumor maligno de la pared posterior de la nasofaringe",""
"29","C153",1,"Tumor maligno del tercio superior del esofago",""
"30","C169",2,"Tumor maligno del estomago, parte no especificada",""
"31","C184",1,"Tumor maligno del colon transverso",""
"32","C189",6,"Tumor maligno del colon, parte no especificada",""
"33","C250",1,"Tumor maligno de la cabeza del pancreas",""
"34","C341",1,"Tumor maligno del lobulo superior, bronquio o pulmon",""
"35","C349",17,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"36","C384",1,"Tumor maligno de la pleura",""
"37","C412",1,"Tumor maligno de la columna vertebral",""
"38","C509",10,"Tumor maligno de la mama, parte no especificada",""
"39","C539",2,"Tumor maligno del cuello del utero, sin otra especificacion",""
"40","C541",1,"Tumor maligno del endometrio",""
"41","C716",1,"Tumor maligno del cerebelo",""
"42","C772",1,"Tumor maligno de los ganglios linfaticos intraabdominales",""
"43","C780",1,"Tumor maligno secundario del pulmon",""
"44","C795",1,"Tumor maligno secundario de los huesos y de la medula osea",""
"45","C798",1,"Tumor maligno secundario de otros sitios especificados",""
"46","C859",6,"Linfoma no hodgkin, no especificado",""
"47","C900",2,"Mieloma multiple",""
"48","C910",1,"Leucemia linfoblastica aguda",""
"49","C920",4,"Leucemia mieloide aguda",""
"50","C921",1,"Leucemia mieloide cronica",""
"51","C950",2,"Leucemia aguda, celulas de tipo no especificado",""
"52","C957",1,"Otras leucemias de celulas de tipo no especificado",""
"53","D015",1,"Carcinoma in situ del higado, de la vesicula biliar y del conducto biliar",""
"54","D045",1,"Carcinoma in situ de la piel del tronco",""
"55","D069",2,"Carcinoma in situ del cuello del utero, parte no especificada",""
"56","D135",1,"Tumor benigno de las vias biliares extrahepaticas",""
"57","D143",1,"Tumor benigno de los bronquios y del pulmon",""
"58","D172",1,"Tumor benigno lipomatoso de piel y de tejido subcutaneo de miembros",""
"59","D177",1,"Tumor benigno lipomatoso de otros sitios especificados",""
"60","D180",1,"Hemangioma, de cualquier sitio",""
"61","D219",1,"Tumor benigno del tejido cunjuntivo y de otros tejidos blandos, de sitio no especificado",""
"62","D234",1,"Tumor benigno de la piel del cuero cabelludo y del cuello",""
"63","D259",5,"Leiomioma del utero, sin otra especificacion",""
"64","D269",16,"Tumor benigno del utero, parte no especificada",""
"65","D300",1,"Tumor benigno del riñon",""
"66","D303",1,"Tumor benigno de la vejiga",""
"67","D333",1,"Tumor benigno de los nervios craneales",""
"68","D376",2,"Tumor de comportamiento incierto o desconocido del higado, de la vesicula biliar y del conducto biliar",""
"69","D380",1,"Tumor de comportamiento incierto o desconocido de laringe",""
"70","D381",1,"Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon",""
"71","D382",1,"Tumor de comportamiento incierto o desconocido de la pleura",""
"72","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"73","D397",4,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"74","D410",1,"Tumor de comportamiento incierto o desconocido del riñon",""
"75","D412",1,"Tumor de comportamiento incierto o desconocido del ureter",""
"76","D414",1,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"77","D432",1,"Tumor de comportamiento incierto o desconocido del encefalo, parte no especificada",""
"78","D479",2,"Tumores de comportamiento incierto o desconocido del tejido linfatico, de los organos hematopoyeticos y de tejidos afines, no especificados",""
"79","D480",2,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"80","D481",1,"Tumor de comportamiento incierto o desconocido del tejido conjuntivo y otro tejido blando",""
"81","D483",1,"Tumor de comportamiento incierto o desconocido del retroperitoneo",""
"82","D485",1,"Tumor de comportamiento incierto o desconocido de la piel",""
"83","D486",4,"Tumor de comportamiento incierto o desconocido de la mama",""
"84","D487",3,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"85","D509",3,"Anemia por deficiencia de hierro sin otra especificacion",""
"86","D589",1,"Anemia hemolitica hereditaria, sin otra especificacion",""
"87","D649",2,"Anemia de tipo no especificado",""
"88","D690",1,"Purpura alergica",""
"89","D696",1,"Trombocitopenia no especificada",""
"90","E039",1,"Hipotiroidismo, no especificado",""
"91","E050",1,"Tirotoxicosis con bocio difuso",""
"92","E063",1,"Tiroiditis autoinmune",""
"93","E105",1,"Diabetes mellitus insulinodependiente con complicaciones circulatorias perifericas",""
"94","E112",1,"Diabetes mellitus no insulinodependiente con complicaciones renales",""
"95","E115",15,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"96","E116",2,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas",""
"97","E118",4,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"98","E119",1,"Diabetes mellitus no insulinodependiente sin mencion de complicacion",""
"99","E136",2,"Otras diabetes mellitus especificadas con otras complicaciones especificadas",""
"100","E142",1,"Diabetes mellitus, no especificada con complicaciones renales",""
"101","E143",1,"Diabetes mellitus, no especificada con complicaciones oftalmicas",""
"102","E145",11,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"103","E149",6,"Diabetes mellitus, no especificada sin mencion de complicacion",""
"104","E162",4,"Hipoglicemia , no especificada",""
"105","E440",2,"Desnutricion proteicocalorica moderada",""
"106","E441",3,"Desnutricion proteicocalorica leve",""
"107","E668",2,"Otros tipos de obesidad",""
"108","E781",1,"Hipergliceridemia pura",""
"109","E835",1,"Trastornos del metabolismo del calcio",""
"110","E878",1,"Otros trastornos del equilibrio de los electrolitos y de los liquidos, no clasificados en otra parte",""
"111","F059",1,"Delirio, no especificado",""
"112","F100",2,"Trastornos mentales y del comportamiento debidos al uso del alcohol: intoxicacion aguda",""
"113","F102",3,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"114","F103",1,"Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia",""
"115","F121",1,"Trastornos mentales y del comportamiento debidos al uso de cannabinoides: uso nocivo",""
"116","F192",2,"Trastornos mentales y del comportamiento debidos al uso de multiples drogas y al uso de otras sustancias psicoactivas: sindrome de dependencia",""
"117","F200",1,"Esquizofrenia paranoide",""
"118","F205",2,"Esquizofrenia residual",""
"119","F209",33,"Esquizofrenia, no especificada",""
"120","F311",1,"Trastorno afectivo bipolar, episodio maniaco presente sin sintomas psicoticos",""
"121","F313",1,"Trastorno afectivo bipolar, episodio depresivo presente leve o moderado",""
"122","F319",2,"Trastorno afectivo bipolar, no especificado",""
"123","F322",2,"Episodio depresivo grave sin sintomas psicoticos",""
"124","F329",8,"Episodio depresivo, no especificado",""
"125","F332",1,"Trastorno depresivo recurrente, episodio depresivo grave presente sin sintomas psicoticos",""
"126","F341",1,"Distimia",""
"127","F430",1,"Reaccion al estres agudo",""
"128","F449",1,"Trastorno disociativo [de conversion], no especificado",""
"129","F500",2,"Anorexia nerviosa",""
"130","F609",1,"Trastorno de la personalidad, no especificado",""
"131","F738",1,"Retraso mental profundo: otros deterioros del comportamiento",""
"132","G009",1,"Meningitis bacteriana, no especificada",""
"133","G060",1,"Absceso y granuloma intracraneal",""
"134","G409",4,"Epilepsia, tipo no especificado",""
"135","G439",3,"Migraña, no especificada",""
"136","G459",3,"Isquemia cerebral transitoria, sin otra especificacion",""
"137","G510",2,"Paralisis de bell",""
"138","G560",4,"Sindrome del tunel carpiano",""
"139","G610",1,"Sindrome de guillain",""
"140","G709",1,"Trastorno neuromuscular, no especificado",""
"141","G809",1,"Paralisis cerebral infantil, sin otra especificacion",""
"142","G839",2,"Sindrome paralitico, no especificado",""
"143","G919",1,"Hidrocefalo, no especificado",""
"144","G931",1,"Lesion cerebral anoxica, no clasificada en otra parte",""
"145","G934",1,"Encefalopatia no especificada",""
"146","G958",1,"Otras enfermedades especificadas de la medula espinal",""
"147","H001",2,"Calacio [chalazion]",""
"148","H021",1,"Ectropion del parpado",""
"149","H024",1,"Blefaroptosis",""
"150","H045",2,"Estenosis e insuficiencia de las vias lagrimales",""
"151","H051",1,"Trastornos inflamatorios cronicos de la orbita",""
"152","H110",2,"Pterigion",""
"153","H259",1,"Catarata senil, no especificada",""
"154","H269",13,"Catarata, no especificada",""
"155","H332",8,"Desprendimiento seroso de la retina",""
"156","H335",1,"Otros desprendimiento de la retina",""
"157","H409",4,"Glaucoma, no especificado",""
