"","id10","N","dec10","grp10"
"1","A020",1,"Enteritis debida a salmonella",""
"2","A080",3,"Enteritis debida a rotavirus",""
"3","A379",5,"Tos ferina, no especificada",""
"4","A415",1,"Septicemia debida a otros organismos gramnegativos",""
"5","A418",2,"Otras septicemias especificadas",""
"6","A419",2,"Septicemia, no especificada",""
"7","A499",3,"Infeccion bacteriana, no especificada",""
"8","A879",1,"Meningitis viral, sin otra especificacion",""
"9","B019",1,"Varicela sin complicaciones",""
"10","B349",1,"Infeccion viral, no especificada",""
"11","C169",6,"Tumor maligno del estomago, parte no especificada",""
"12","C181",1,"Tumor maligno del apendice",""
"13","C189",1,"Tumor maligno del colon, parte no especificada",""
"14","C229",1,"Tumor maligno del higado, no especificado",""
"15","C250",1,"Tumor maligno de la cabeza del pancreas",""
"16","C259",1,"Tumor maligno del pancreas, parte no especificada",""
"17","C329",1,"Tumor maligno de la laringe, parte no especificada",""
"18","C341",1,"Tumor maligno del lobulo superior, bronquio o pulmon",""
"19","C349",2,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"20","C435",1,"Melanoma maligno del tronco",""
"21","C439",1,"Melanoma maligno de piel, sitio no especificado",""
"22","C503",1,"Tumor maligno del cuadrante inferior interno de la mama",""
"23","C509",8,"Tumor maligno de la mama, parte no especificada",""
"24","C574",1,"Tumor maligno de los anexos uterinos, sin otra especificacion",""
"25","C679",1,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"26","C788",1,"Tumor maligno secundario de otros organos digestivos y de los no especificados",""
"27","C859",1,"Linfoma no hodgkin, no especificado",""
"28","C900",1,"Mieloma multiple",""
"29","D069",4,"Carcinoma in situ del cuello del utero, parte no especificada",""
"30","D141",1,"Tumor benigno de la laringe",""
"31","D169",1,"Tumor benigno del huesos y del cartilago articular, sitio no especificado",""
"32","D179",1,"Tumor benigno lipomatoso, de sitio no especificado",""
"33","D180",1,"Hemangioma, de cualquier sitio",""
"34","D223",1,"Nevo melanocitico de otras partes de las no especificadas de la cara",""
"35","D229",1,"Nevo melanocitico, sitio no especificado",""
"36","D236",1,"Tumor benigno de la piel del miembro superior, incluido el hombro",""
"37","D259",10,"Leiomioma del utero, sin otra especificacion",""
"38","D269",1,"Tumor benigno del utero, parte no especificada",""
"39","D297",1,"Tumor benigno de otros organos genitales masculinos",""
"40","D374",1,"Tumor de comportamiento incierto o desconocido del colon",""
"41","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"42","D397",2,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"43","D400",1,"Tumor de comportamiento incierto o desconocido de la prostata",""
"44","D410",1,"Tumor de comportamiento incierto o desconocido del riñon",""
"45","D414",1,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"46","D442",1,"Tumor de comportamiento incierto o desconocido de la glandula paratiroides",""
"47","D480",1,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"48","D486",1,"Tumor de comportamiento incierto o desconocido de la mama",""
"49","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"50","D619",1,"Anemia aplastica, sin otra especificacion",""
"51","D649",3,"Anemia de tipo no especificado",""
"52","E041",2,"Nodulo tiroideo solitario no toxico",""
"53","E042",1,"Bocio multinodular no toxico",""
"54","E059",1,"Tirotoxicosis, no especificada",""
"55","E100",1,"Diabetes mellitus insulinodependiente con coma",""
"56","E109",1,"Diabetes mellitus insulinodependiente sin mencion de complicacion",""
"57","E112",1,"Diabetes mellitus no insulinodependiente con complicaciones renales",""
"58","E115",5,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"59","E116",1,"Diabetes mellitus no insulinodependiente con otras complicaciones especificadas",""
"60","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"61","E142",1,"Diabetes mellitus, no especificada con complicaciones renales",""
"62","E145",5,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"63","E162",6,"Hipoglicemia , no especificada",""
"64","E213",1,"Hiperparatiroidismo, sin otra especificacion",""
"65","E668",7,"Otros tipos de obesidad",""
"66","E669",1,"Obesidad, no especificada",""
"67","E835",1,"Trastornos del metabolismo del calcio",""
"68","F018",1,"Otras demencias vasculares",""
"69","F130",8,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
"70","F149",1,"Trastornos mentales y del comportamiento debidos al uso de cocaina: trastorno mental y del comportamiento, no especificado",""
"71","F180",1,"Trastornos mentales y del comportamiento debidos al uso de disolventes volatiles: intoxicacion aguda",""
"72","F200",1,"Esquizofrenia paranoide",""
"73","F319",1,"Trastorno afectivo bipolar, no especificado",""
"74","F322",2,"Episodio depresivo grave sin sintomas psicoticos",""
"75","F329",4,"Episodio depresivo, no especificado",""
"76","F418",1,"Otros trastornos de ansiedad especificados",""
"77","F448",1,"Otros trastornos disociativos [de conversion]",""
"78","F799",1,"Retraso mental, no especificado: deterioro del comportamiento de grado no especificado",""
"79","G001",1,"Meningitis neumococica",""
"80","G049",1,"Encefalitis, mielitis y encefalomielitis, no especificadas",""
"81","G122",1,"Enfermedades de las neuronas motoras",""
"82","G312",1,"Degeneracion del sistema nervioso debida a el alcohol",""
"83","G401",1,"Epilepsia y sindromes epilepticos sintomaticos relacionados con localizaciones (focales) (parciales) y con ataques parciales simples",""
"84","G409",3,"Epilepsia, tipo no especificado",""
"85","G448",1,"Otros sindromes de cefalea especificados",""
"86","G459",2,"Isquemia cerebral transitoria, sin otra especificacion",""
"87","G560",1,"Sindrome del tunel carpiano",""
"88","G569",1,"Mononeuropatia del miembro superior sin otra especificacion",""
"89","G912",1,"Hidrocefalo de presion normal",""
"90","H023",1,"Blefarocalasia",""
"91","H024",1,"Blefaroptosis",""
"92","H044",1,"Inflamacion cronica de las vias lagrimales",""
"93","H045",1,"Estenosis e insuficiencia de las vias lagrimales",""
"94","H110",2,"Pterigion",""
"95","H269",2,"Catarata, no especificada",""
"96","H332",1,"Desprendimiento seroso de la retina",""
"97","H334",1,"Desprendimiento de la retina por traccion",""
"98","H509",1,"Estrabismo, no especificado",""
"99","H601",1,"Celulitis del oido externo",""
"100","H669",1,"Otitis media, no especificada",""
"101","H814",1,"Vertigo de origen central",""
"102","I130",1,"Enfermedad cardiorrenal hipertensiva con insuficiencia cardiaca (congestiva)",""
"103","I159",1,"Hipertension secundaria, no especificada",""
"104","I200",2,"Angina inestable",""
"105","I219",7,"Infarto agudo del miocardio, sin otra especificacion",""
"106","I259",4,"Enfermedad isquemia cronica del corazon, no especificada",""
"107","I269",2,"Embolia pulmonar sin mencion de corazon pulmonar agudo",""
"108","I330",1,"Endocarditis infecciosa aguda y subaguda",""
"109","I350",1,"Estenosis (de la valvula) aortica",""
"110","I351",1,"Insuficiencia (de la valvula) aortica",""
"111","I425",1,"Otras cardiomiopatias restrictivas",""
"112","I442",4,"Bloqueo auriculoventricular completo",""
"113","I469",1,"Paro cardiaco, no especificado",""
"114","I470",1,"Arritmia por reentrada ventricular",""
