"","id10","N","dec10","grp10"
"1","A020",1,"Enteritis debida a salmonella",""
"2","A080",3,"Enteritis debida a rotavirus",""
"3","A083",2,"Otras enteritis virales",""
"4","A162",2,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"5","A410",1,"Septicemia debida staphylococcus aureus",""
"6","A418",1,"Otras septicemias especificadas",""
"7","A419",4,"Septicemia, no especificada",""
"8","A509",1,"Sifilis congenita, sin otra especificacion",""
"9","A691",1,"Otras infecciones de vicent",""
"10","B829",1,"Parasitosis intestinal, sin otra especificacion",""
"11","C169",16,"Tumor maligno del estomago, parte no especificada",""
"12","C189",3,"Tumor maligno del colon, parte no especificada",""
"13","C340",1,"Tumor maligno del bronquio principal",""
"14","C349",1,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"15","C437",1,"Melanoma maligno del miembro inferior, incluida la cadera",""
"16","C439",1,"Melanoma maligno de piel, sitio no especificado",""
"17","C442",1,"Tumor maligno de la piel de la oreja y del conducto auditivo externo",""
"18","C449",1,"Tumor maligno de la piel, sitio no especificado",""
"19","C450",1,"Mesotelioma de la pleura",""
"20","C499",1,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado",""
"21","C504",1,"Tumor maligno del cuadrante superior externo de la mama",""
"22","C509",11,"Tumor maligno de la mama, parte no especificada",""
"23","C539",3,"Tumor maligno del cuello del utero, sin otra especificacion",""
"24","C541",1,"Tumor maligno del endometrio",""
"25","C670",1,"Tumor maligno del trigono vesical",""
"26","C679",1,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"27","C959",1,"Leucemia, no especificada",""
"28","D075",2,"Carcinoma in situ de la prostata",""
"29","D126",1,"Tumor benigno del colon, parte no especificada",""
"30","D169",1,"Tumor benigno del huesos y del cartilago articular, sitio no especificado",""
"31","D172",1,"Tumor benigno lipomatoso de piel y de tejido subcutaneo de miembros",""
"32","D177",1,"Tumor benigno lipomatoso de otros sitios especificados",""
"33","D213",1,"Tumor benigno del tejido cunjuntivo y de otros tejidos blandos del torax",""
"34","D229",2,"Nevo melanocitico, sitio no especificado",""
"35","D259",9,"Leiomioma del utero, sin otra especificacion",""
"36","D292",1,"Tumor benigno de los testiculos",""
"37","D293",1,"Tumor benigno del epididimo",""
"38","D371",1,"Tumor de comportamiento incierto o desconocido del estomago",""
"39","D376",1,"Tumor de comportamiento incierto o desconocido del higado, de la vesicula biliar y del conducto biliar",""
"40","D381",1,"Tumor de comportamiento incierto o desconocido de la traquea, de los bronquios y del pulmon",""
"41","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"42","D397",2,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
"43","D414",1,"Tumor de comportamiento incierto o desconocido de la vejiga",""
"44","D430",1,"Tumor de comportamiento incierto o desconocido del encefalo, supratentorial",""
"45","D445",1,"Tumor de comportamiento incierto o desconocido de la glandula pineal",""
"46","D467",1,"Otros sindromes mielodisplasicos",""
"47","D469",1,"Sindrome mielodisplasico, sin otra especificacion",""
"48","D487",2,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"49","D649",3,"Anemia de tipo no especificado",""
"50","D696",1,"Trombocitopenia no especificada",""
"51","E041",1,"Nodulo tiroideo solitario no toxico",""
"52","E115",7,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"53","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"54","E141",1,"Diabetes mellitus, no especificada con cetoacidosis",""
"55","E142",1,"Diabetes mellitus, no especificada con complicaciones renales",""
"56","E145",6,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"57","E162",2,"Hipoglicemia , no especificada",""
"58","E211",1,"Hiperparatiroidismo secundario no clasificado en otra parte",""
"59","E282",1,"Sindrome de ovario poliquistico",""
"60","E660",2,"Obesidad debida a exceso de calorias",""
"61","E668",1,"Otros tipos de obesidad",""
"62","E669",1,"Obesidad, no especificada",""
"63","E785",1,"Hiperlipidemia no especificada",""
"64","E870",1,"Hiperosmolaridad e hipernatremia",""
"65","E871",2,"Hiposmolaridad e hipernatremia",""
"66","E881",1,"Lipodistrofia, no clasificada en otra parte",""
"67","F059",1,"Delirio, no especificado",""
"68","F100",1,"Trastornos mentales y del comportamiento debidos al uso del alcohol: intoxicacion aguda",""
"69","F102",2,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"70","F103",1,"Trastornos mentales y del comportamiento debidos al uso del alcohol: estado de abstinencia",""
"71","F130",1,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
"72","F209",2,"Esquizofrenia, no especificada",""
"73","F321",2,"Episodio depresivo moderado",""
"74","F322",3,"Episodio depresivo grave sin sintomas psicoticos",""
"75","F329",11,"Episodio depresivo, no especificado",""
"76","F413",1,"Otros trastornos de ansiedad mixtos",""
"77","F448",1,"Otros trastornos disociativos [de conversion]",""
"78","F449",1,"Trastorno disociativo [de conversion], no especificado",""
"79","F609",1,"Trastorno de la personalidad, no especificado",""
"80","F700",1,"Retraso mental leve: deterioro del comportamiento nulo o minimo",""
"81","F952",1,"Trastornos por tics motores y vocales multiples combinados [de la tourette]",""
"82","G049",1,"Encefalitis, mielitis y encefalomielitis, no especificadas",""
"83","G369",1,"Desmielinizacion diseminada aguda sin otra especificacion",""
"84","G373",1,"Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central",""
"85","G379",1,"Enfermedad desmielinizante del sistema nervioso central, no especificada",""
"86","G400",1,"Epilepsia y sindromes epilepticos idiopaticos relacionados con localizaciones (focales) (parciales) y con ataques de inicio localizado",""
"87","G409",4,"Epilepsia, tipo no especificado",""
"88","G410",1,"Estado de gran mal epileptico",""
"89","G448",1,"Otros sindromes de cefalea especificados",""
"90","G454",1,"Amnesia global transitoria",""
"91","G459",2,"Isquemia cerebral transitoria, sin otra especificacion",""
"92","G510",1,"Paralisis de bell",""
"93","G560",4,"Sindrome del tunel carpiano",""
"94","G589",1,"Mononeuropatia, no especificada",""
"95","G610",3,"Sindrome de guillain",""
"96","G629",1,"Polineuropatia, no especificada",""
"97","G809",1,"Paralisis cerebral infantil, sin otra especificacion",""
"98","G919",1,"Hidrocefalo, no especificado",""
"99","G952",1,"Compresion medular, no especificada",""
"100","H050",1,"Inflamacion aguda de la orbita",""
"101","H160",1,"Ulcera de la cornea",""
"102","H532",1,"Diplopia",""
"103","H669",1,"Otitis media, no especificada",""
"104","I200",1,"Angina inestable",""
"105","I209",1,"Angina de pecho, no especificada",""
"106","I210",1,"Infarto transmural agudo del miocardio de la pared anterior",""
"107","I219",9,"Infarto agudo del miocardio, sin otra especificacion",""
"108","I259",4,"Enfermedad isquemia cronica del corazon, no especificada",""
"109","I269",4,"Embolia pulmonar sin mencion de corazon pulmonar agudo",""
"110","I350",1,"Estenosis (de la valvula) aortica",""
"111","I441",1,"Bloqueo auriculoventricular de segundo grado",""
"112","I442",2,"Bloqueo auriculoventricular completo",""
