"","id10","N","dec10","grp10"
"1","A060",1,"Disenteria amebiana aguda",""
"2","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"3","A259",1,"Fiebre por mordedura de rata, no especificada",""
"4","A370",1,"Tos ferina debida a bordetella pertussis",""
"5","A379",1,"Tos ferina, no especificada",""
"6","A419",6,"Septicemia, no especificada",""
"7","A600",1,"Infeccion de genitales y trayecto urogenital y debida a virus del herpes [herpes simple]",""
"8","A879",1,"Meningitis viral, sin otra especificacion",""
"9","B029",1,"Herpes zoster sin complicaciones",""
"10","B083",1,"Eritema infeccioso [quinta enfermedad]",""
"11","B349",1,"Infeccion viral, no especificada",""
"12","C159",2,"Tumor maligno del esofago, parte no especificada",""
"13","C169",6,"Tumor maligno del estomago, parte no especificada",""
"14","C189",3,"Tumor maligno del colon, parte no especificada",""
"15","C229",1,"Tumor maligno del higado, no especificado",""
"16","C250",1,"Tumor maligno de la cabeza del pancreas",""
"17","C259",1,"Tumor maligno del pancreas, parte no especificada",""
"18","C509",8,"Tumor maligno de la mama, parte no especificada",""
"19","C511",1,"Tumor maligno del labio menor",""
"20","C519",1,"Tumor maligno de la vulva, parte no especificada",""
"21","C539",2,"Tumor maligno del cuello del utero, sin otra especificacion",""
"22","C541",2,"Tumor maligno del endometrio",""
"23","C574",1,"Tumor maligno de los anexos uterinos, sin otra especificacion",""
"24","C679",1,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"25","C859",6,"Linfoma no hodgkin, no especificado",""
"26","C880",1,"Macroglobulinemia de waldenstrom",""
"27","C900",11,"Mieloma multiple",""
"28","C910",1,"Leucemia linfoblastica aguda",""
"29","D037",1,"Melanoma in situ del miembro inferior, incluida la cadera",""
"30","D075",1,"Carcinoma in situ de la prostata",""
"31","D126",1,"Tumor benigno del colon, parte no especificada",""
"32","D134",1,"Tumor benigno del higado",""
"33","D136",1,"Tumor benigno del pancreas",""
"34","D151",1,"Tumor benigno del corazon",""
"35","D224",1,"Nevo melanocitico del cuero cabelludo y del cuello",""
"36","D229",1,"Nevo melanocitico, sitio no especificado",""
"37","D251",1,"Leiomioma intramural del utero",""
"38","D259",12,"Leiomioma del utero, sin otra especificacion",""
"39","D291",1,"Tumor benigno de la prostata",""
"40","D301",1,"Tumor benigno de la pelvis renal",""
"41","D303",1,"Tumor benigno de la vejiga",""
"42","D352",1,"Tumor benigno de la hipofisis",""
"43","D367",2,"Tumor benigno de otros sitios especificados",""
"44","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"45","D397",2,"Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos",""
