"","id10","N","dec10","grp10"
"1","A060",1,"Disenteria amebiana aguda",""
"2","A080",1,"Enteritis debida a rotavirus",""
"3","A083",1,"Otras enteritis virales",""
"4","A162",1,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",""
"5","A169",1,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica",""
"6","A379",1,"Tos ferina, no especificada",""
"7","A419",5,"Septicemia, no especificada",""
"8","A499",1,"Infeccion bacteriana, no especificada",""
"9","A509",1,"Sifilis congenita, sin otra especificacion",""
"10","A539",1,"Sifilis, no especificada",""
"11","B001",1,"Dermatitis vesicular herpetica",""
"12","B009",1,"Infeccion debida a el virus del herpes, no especificada",""
"13","C169",17,"Tumor maligno del estomago, parte no especificada",""
"14","C189",1,"Tumor maligno del colon, parte no especificada",""
"15","C259",1,"Tumor maligno del pancreas, parte no especificada",""
"16","C349",2,"Tumor maligno de los bronquios o del pulmon, parte no especificada",""
"17","C441",1,"Tumor maligno de la piel del parpado, incluida la comisura palpebral",""
"18","C443",1,"Tumor maligno de la piel de otras partes y de las no especificadas de la cara",""
"19","C449",1,"Tumor maligno de la piel, sitio no especificado",""
"20","C482",3,"Tumor maligno del peritoneo, sin otra especificacion",""
"21","C509",4,"Tumor maligno de la mama, parte no especificada",""
"22","C541",2,"Tumor maligno del endometrio",""
"23","C679",1,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"24","C765",1,"Tumor maligno del miembro inferior",""
"25","C780",2,"Tumor maligno secundario del pulmon",""
"26","C859",2,"Linfoma no hodgkin, no especificado",""
"27","C900",3,"Mieloma multiple",""
"28","C910",2,"Leucemia linfoblastica aguda",""
"29","C911",1,"Leucemia linfocitica cronica",""
"30","C950",1,"Leucemia aguda, celulas de tipo no especificado",""
"31","D000",1,"Carcinoma in situ del labio, de la cavidad bucal y de la faringe",""
"32","D161",1,"Tumor benigno de los huesos cortos del miembro superior",""
"33","D229",1,"Nevo melanocitico, sitio no especificado",""
"34","D239",1,"Tumor benigno de la piel, sitio no especificado",""
"35","D250",1,"Leiomioma submucoso del utero",""
"36","D259",17,"Leiomioma del utero, sin otra especificacion",""
"37","D291",1,"Tumor benigno de la prostata",""
"38","D369",1,"Tumor benigno de sitio no especificado",""
"39","D371",1,"Tumor de comportamiento incierto o desconocido del estomago",""
