"","id10","N","dec10","grp10"
"1","A080",1,"Enteritis debida a rotavirus",""
"2","A418",1,"Otras septicemias especificadas",""
"3","A419",1,"Septicemia, no especificada",""
"4","B019",1,"Varicela sin complicaciones",""
"5","B023",1,"Herpes zoster ocular",""
"6","B029",1,"Herpes zoster sin complicaciones",""
"7","B159",1,"Hepatitis aguda tipo a, con coma hepatico",""
"8","C109",1,"Tumor maligno de la orofaringe, parte no especificada",""
"9","C169",2,"Tumor maligno del estomago, parte no especificada",""
"10","C229",1,"Tumor maligno del higado, no especificado",""
"11","C439",1,"Melanoma maligno de piel, sitio no especificado",""
"12","C509",2,"Tumor maligno de la mama, parte no especificada",""
"13","C539",12,"Tumor maligno del cuello del utero, sin otra especificacion",""
"14","C679",1,"Tumor maligno de la vejiga urinaria, parte no especificada",""
"15","C798",1,"Tumor maligno secundario de otros sitios especificados",""
"16","C859",1,"Linfoma no hodgkin, no especificado",""
"17","C910",1,"Leucemia linfoblastica aguda",""
"18","C929",1,"Leucemia mieloide, sin otra especificacion",""
"19","D069",3,"Carcinoma in situ del cuello del utero, parte no especificada",""
"20","D131",1,"Tumor benigno del estomago",""
"21","D259",5,"Leiomioma del utero, sin otra especificacion",""
"22","D269",1,"Tumor benigno del utero, parte no especificada",""
"23","D320",1,"Tumor benigno de las meninges cerebrales",""
"24","D390",1,"Tumor de comportamiento incierto o desconocido del utero",""
"25","D391",1,"Tumor de comportamiento incierto o desconocido del ovario",""
"26","D480",2,"Tumor de comportamiento incierto o desconocido del hueso y cartilago articular",""
"27","D486",1,"Tumor de comportamiento incierto o desconocido de la mama",""
"28","D487",1,"Tumor de comportamiento incierto o desconocido de otros sitios especificados",""
"29","D619",3,"Anemia aplastica, sin otra especificacion",""
"30","D649",1,"Anemia de tipo no especificado",""
"31","D693",1,"Purpura trombocitopenica idiopatica",""
"32","D729",1,"Trastornos de los leucocitos, no especificado",""
"33","D762",2,"Sindrome hemofagocitico asociado a infeccion",""
"34","E041",1,"Nodulo tiroideo solitario no toxico",""
"35","E042",1,"Bocio multinodular no toxico",""
"36","E115",1,"Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas",""
"37","E118",1,"Diabetes mellitus no insulinodependiente con complicaciones no especificadas",""
"38","E145",3,"Diabetes mellitus, no especificada con complicaciones circulatorias perifericas",""
"39","E162",3,"Hipoglicemia , no especificada",""
"40","E213",2,"Hiperparatiroidismo, sin otra especificacion",""
"41","F102",4,"Trastornos mentales y del comportamiento debidos al uso del alcohol: sindrome de dependencia",""
"42","F105",1,"Trastornos mentales y del comportamiento debidos al uso del alcohol: trastorno psicotico",""
"43","F130",1,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnoticos: intoxicacion aguda",""
"44","F209",2,"Esquizofrenia, no especificada",""
"45","F319",1,"Trastorno afectivo bipolar, no especificado",""
"46","F329",1,"Episodio depresivo, no especificado",""
"47","F799",1,"Retraso mental, no especificado: deterioro del comportamiento de grado no especificado",""
"48","G373",1,"Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central",""
"49","G409",1,"Epilepsia, tipo no especificado",""
"50","G439",1,"Migraña, no especificada",""
"51","G459",1,"Isquemia cerebral transitoria, sin otra especificacion",""
"52","G560",1,"Sindrome del tunel carpiano",""
"53","G939",1,"Trastorno del encefalo, no especificado",""
"54","H001",1,"Calacio [chalazion]",""
"55","H059",1,"Trastorno de la orbita, no especificado",""
"56","H110",1,"Pterigion",""
"57","H250",1,"Catarata senil incipiente",""
"58","H264",1,"Catarata residual",""
"59","H269",5,"Catarata, no especificada",""
"60","H332",2,"Desprendimiento seroso de la retina",""
"61","H409",1,"Glaucoma, no especificado",""
"62","H604",1,"Colesteatoma del oido externo",""
"63","H808",1,"Otras otosclerosis",""
"64","I059",1,"Enfermedad valvular mitral, no especificada",""
"65","I119",1,"Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)",""
"66","I200",2,"Angina inestable",""
"67","I219",7,"Infarto agudo del miocardio, sin otra especificacion",""
"68","I251",1,"Enfermedad aterosclerotica del corazon",""
"69","I259",2,"Enfermedad isquemia cronica del corazon, no especificada",""
"70","I260",1,"Embolia pulmonar con mencion de corazon pulmonar agudo",""
"71","I330",1,"Endocarditis infecciosa aguda y subaguda",""
"72","I350",1,"Estenosis (de la valvula) aortica",""
"73","I351",1,"Insuficiencia (de la valvula) aortica",""
"74","I458",1,"Otros trastornos especificados de la conduccion",""
"75","I490",1,"Fibrilacion y aleteo ventricular",""
"76","I500",6,"Insuficiencia cardiaca congestiva",""
"77","I509",4,"Insuficiencia cardiaca, no especificada",""
